@RELATION music

@ATTRIBUTE escala {C+,B,A,F+,E,D,E-,B-,F,G,C,A-,D-}
@ATTRIBUTE armadura {2/8,3/8,1/4,9/8,2/2,3/4,4/4,6/8,2/4}
@ATTRIBUTE g1 NUMERIC
@ATTRIBUTE g2 NUMERIC
@ATTRIBUTE g3 NUMERIC
@ATTRIBUTE g4 NUMERIC
@ATTRIBUTE g5 NUMERIC
@ATTRIBUTE g6 NUMERIC
@ATTRIBUTE g7 NUMERIC
@ATTRIBUTE g8 NUMERIC
@ATTRIBUTE g9 NUMERIC
@ATTRIBUTE g10 NUMERIC
@ATTRIBUTE g11 NUMERIC
@ATTRIBUTE g12 NUMERIC
@ATTRIBUTE acorde1 NUMERIC
@ATTRIBUTE acorde2 NUMERIC
@ATTRIBUTE acorde3 NUMERIC
@ATTRIBUTE acorde4 NUMERIC
@ATTRIBUTE acorde5 NUMERIC
@ATTRIBUTE RHSonidos NUMERIC
@ATTRIBUTE LHSonidos NUMERIC
@ATTRIBUTE AmbasSonidos NUMERIC
@ATTRIBUTE RHSilencios NUMERIC
@ATTRIBUTE LHSilencios NUMERIC
@ATTRIBUTE AmbasSilencios NUMERIC
@ATTRIBUTE MasRuidosa {R,L,B}
@ATTRIBUTE O1 NUMERIC
@ATTRIBUTE O2 NUMERIC
@ATTRIBUTE O3 NUMERIC
@ATTRIBUTE O4 NUMERIC
@ATTRIBUTE O5 NUMERIC
@ATTRIBUTE O6 NUMERIC
@ATTRIBUTE O7 NUMERIC
@ATTRIBUTE RHMasGrave NUMERIC
@ATTRIBUTE RHMasAguda NUMERIC
@ATTRIBUTE LHMasGrave NUMERIC
@ATTRIBUTE LHMasAguda NUMERIC
@ATTRIBUTE RHAmplitud NUMERIC
@ATTRIBUTE LHAmplitud NUMERIC
@ATTRIBUTE TotalAmplitud NUMERIC
@ATTRIBUTE Compositor {Bach,Mozart,Muzio,Beethoven,Debussy,Joplin}

@DATA
F,"3/4",5,3,11,0,11,6,2,13,0,5,5,7,22,23,0,0,0,0.9583,1.0,1.0,0.0417,0.0,0.0,L,0,3,26,13,25,1,0,67,84,45,63,17,18,39,Bach
F,"3/4",14,0,14,0,6,12,0,6,3,17,4,10,22,24,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,1,21,34,30,0,0,67,82,43,67,15,24,39,Bach
F,"3/4",7,0,13,0,10,8,4,4,4,14,0,8,24,24,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,7,23,7,35,0,0,67,82,38,58,15,20,44,Bach
F,"3/4",21,0,6,0,7,17,0,17,0,22,7,3,12,36,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,7,14,46,33,0,0,65,77,36,65,12,29,41,Bach
F,"3/4",12,0,11,0,12,15,0,11,0,7,1,10,17,31,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,3,44,29,3,0,0,53,74,45,60,21,15,29,Bach
F,"3/4",9,0,5,0,6,5,0,6,0,2,0,3,4,6,0,1,0,0.6667,0.6667,0.6667,0.3333,0.3333,0.3333,B,0,9,6,13,8,0,0,55,65,36,48,10,12,29,Bach
F,"3/4",17,0,16,13,1,13,0,9,7,3,3,9,21,27,0,0,0,1.0,0.9792,1.0,0.0,0.0208,0.0,R,0,2,38,27,24,0,0,64,82,41,58,18,17,41,Bach
F,"3/4",12,0,15,13,1,11,0,8,5,2,1,9,19,29,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,0,19,25,33,0,0,64,82,52,70,18,18,30,Bach
F,"3/4",14,0,11,11,3,4,8,13,2,10,11,1,24,24,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,8,28,30,22,0,0,60,80,43,63,20,20,37,Bach
F,"3/4",5,8,9,1,7,3,4,10,0,11,9,2,27,21,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,0,21,29,18,1,0,69,84,50,68,15,18,34,Bach
F,"3/4",15,0,9,7,2,4,7,13,2,14,14,1,24,24,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,1,28,25,34,0,0,65,79,46,65,14,19,33,Bach
F,"3/4",7,1,8,7,4,11,0,11,10,0,9,0,28,20,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,2,21,21,24,0,0,65,82,45,65,17,20,37,Bach
F,"3/4",16,2,13,14,0,13,0,10,11,1,9,3,20,28,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,0,27,37,28,0,0,64,80,48,65,16,17,32,Bach
F,"3/4",11,0,11,10,1,12,0,11,7,3,1,10,19,29,0,0,0,1.0,0.9792,1.0,0.0,0.0208,0.0,R,0,20,20,21,16,0,0,64,82,36,60,18,24,46,Bach
F,"3/4",7,0,4,4,0,4,0,6,3,0,2,0,4,5,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,1,6,13,10,0,0,65,73,41,60,8,19,32,Bach
G,"9/8",13,0,11,0,11,9,0,16,0,5,2,10,11,25,0,0,0,1.0,0.75,1.0,0.0,0.25,0.0,R,0,0,19,25,33,0,0,66,81,50,64,15,14,31,Bach
